Symbol,Name,Sector,Average Absolute Daily Beta Adjusted Return,Average Daily Beta Adjusted Return,Average Daily non-holding Beta Adjusted Return,Std Error of Daily Holding Period Beta Adjusted Return,Std Dev of Daily Holding Period Beta Adjusted Return,Average Daily Beta Adjusted Return of Study Period,Median Daily Beta Adjusted Return,P Value (Beta Adjusted),P Value of Absolute Returns (Beta Adjusted),Std Error of Daily Study Period Beta Adjusted Return,Std Dev of Daily Study Period Beta Adjusted Return,Average Percent Return,Average Absolute Daily Return,Average Daily Return,Average Daily non-holding Return,Trade Period Beta with Benchmark,Number of Trades,Cumulative Percent Return,Std Error of Daily Holding Period Return,Std Dev of Daily Holding Period Return,Event Sensitivity,Best Percent Return,Mean Absolute Percent Return,Average Daily Return of Study Period,Median Percent Return,Median Absolute Percent Return,Median Daily Return,Worst Percent Return,Number of Days Positive,Percent of Days Positive,Percent of Trades Positive,P Value ,P Value of Absolute Returns ,R with S&P 500,Risk Adjusted Sharpe Ratio,Sharpe Ratio,Std Error of Daily Study Period Return,Std Dev of Daily Study Period Return,Study Period Beta with Benchmark,Earliest Data Date,Latest Data Date
DFS,Discover Financial Services,Finance,0.83%,0.10%,0.04%,0.18%,1.20%,0.04%,-0.12%,0.74,0.33,0.03%,1.37%,3.81%,1.94%,0.63%,0.04%,1.50,7,29.93%,0.39%,2.54%,0.59,12.35%,3.87%,0.05%,2.74%,2.74%,0.48%,-0.19%,25,59.52%,85.71%,0.23,0.41,0.64,0.29,0.61,0.07%,3.26%,1.60,06/14/2007,08/21/2015
DG,Dollar General Corp.,Consumer Services,1.32%,0.28%,0.13%,0.32%,1.74%,0.13%,0.27%,0.51,0.01,0.09%,2.98%,2.37%,0.81%,0.39%,0.07%,0.45,5,12.44%,0.19%,1.02%,0.03,6.11%,2.47%,0.08%,0.74%,0.74%,0.29%,-0.24%,20,66.67%,80.00%,0.10,0.03,0.39,-0.18,1.12,0.05%,1.64%,0.52,03/02/2000,08/21/2015
DGX,Quest Diagnostics Inc.,Health Care,1.20%,-0.26%,0.02%,0.22%,1.54%,0.01%,-0.02%,0.43,0.26,0.05%,2.19%,0.10%,0.83%,0.02%,0.01%,0.54,8,0.81%,0.15%,1.06%,0.23,3.85%,2.57%,0.01%,1.25%,2.18%,0.18%,-5.18%,29,60.42%,62.50%,0.88,0.27,0.52,-0.43,0.04,0.03%,1.54%,0.59,12/26/1996,08/21/2015
DHI,D.R. Horton,Capital Goods,1.02%,0.24%,0.01%,0.19%,1.28%,0.01%,-0.07%,0.18,0.27,0.04%,1.89%,4.75%,2.14%,0.78%,-0.02%,1.84,8,44.96%,0.39%,2.73%,0.36,15.86%,5.41%,0.00%,4.06%,4.06%,0.44%,-2.38%,27,56.25%,75.00%,0.04,0.28,0.69,0.38,0.66,0.08%,3.66%,1.54,08/25/1993,08/21/2015
DHR,Danaher Corp.,Capital Goods,0.59%,0.18%,0.03%,0.10%,0.71%,0.03%,0.19%,0.13,0.21,0.03%,1.10%,2.57%,0.93%,0.42%,0.03%,0.96,8,22.55%,0.17%,1.18%,0.29,9.23%,3.32%,0.04%,2.32%,2.79%,0.46%,-2.84%,32,66.67%,87.50%,0.06,0.17,0.84,0.20,0.83,0.04%,1.64%,0.91,01/02/1990,08/21/2015
DIS,Walt Disney Company,Consumer Services,0.64%,0.18%,0.03%,0.13%,0.90%,0.04%,-0.06%,0.72,0.29,0.02%,1.00%,3.04%,1.20%,0.50%,0.04%,1.23,8,27.03%,0.23%,1.58%,0.84,12.45%,3.85%,0.05%,2.06%,2.19%,0.30%,-2.81%,28,58.33%,75.00%,0.12,0.45,0.80,0.26,0.73,0.04%,1.88%,1.07,12/04/1984,08/21/2015
DISCA,Discovery Communications Inc,Consumer Services,1.01%,-0.07%,0.06%,0.19%,1.31%,0.05%,0.02%,0.69,0.45,0.05%,2.18%,1.25%,1.42%,0.21%,0.04%,1.18,8,10.48%,0.26%,1.78%,0.55,9.09%,4.63%,0.04%,2.16%,4.90%,0.36%,-7.03%,26,54.17%,75.00%,0.56,0.26,0.68,-0.09,0.27,0.06%,2.87%,0.99,07/08/2005,08/21/2015
DISCK,Discovery Communications Inc,Consumer Services,1.19%,-0.04%,0.06%,0.26%,1.56%,0.06%,0.28%,0.79,0.42,0.06%,2.39%,1.66%,1.58%,0.27%,0.05%,1.28,6,10.37%,0.33%,1.98%,0.68,11.02%,6.11%,0.06%,2.73%,6.12%,0.29%,-7.58%,20,55.56%,66.67%,0.44,0.08,0.67,-0.09,0.37,0.07%,2.91%,0.92,09/18/2008,08/21/2015
DLPH,Delphi Automotive Plc,Capital Goods,0.84%,-0.30%,0.08%,0.27%,1.13%,0.07%,-0.27%,0.18,0.37,0.04%,0.97%,-0.71%,0.96%,-0.12%,0.17%,0.26,3,-2.13%,0.31%,1.31%,0.36,2.96%,3.35%,0.16%,0.96%,2.96%,-0.31%,-5.84%,8,44.44%,66.67%,0.28,0.22,0.03,-0.87,-0.34,0.06%,1.54%,1.24,11/17/2011,08/21/2015
DLTR,Dollar Tree,Consumer Services,1.11%,0.23%,0.16%,0.20%,1.41%,0.17%,-0.19%,0.57,0.00,0.07%,3.26%,1.73%,0.84%,0.29%,0.08%,0.68,8,14.72%,0.15%,1.04%,0.01,8.93%,3.22%,0.09%,1.92%,2.72%,0.18%,-4.51%,27,56.25%,75.00%,0.25,0.01,0.66,0.00,0.63,0.04%,2.00%,0.55,03/09/1995,08/21/2015
DNB,Dun & Bradstreet Corp.,Finance,0.74%,0.20%,0.02%,0.13%,0.91%,0.03%,0.13%,0.47,0.02,0.04%,1.88%,2.02%,0.82%,0.33%,0.02%,0.80,8,17.32%,0.15%,1.02%,0.15,6.38%,2.66%,0.02%,1.70%,1.95%,0.19%,-2.46%,27,56.25%,87.50%,0.17,0.10,0.80,0.07,0.75,0.04%,1.64%,0.68,01/02/1990,08/21/2015
DO,Diamond Offshore Drilling,Energy,1.12%,-0.14%,-0.02%,0.22%,1.50%,-0.02%,-0.18%,0.52,0.38,0.04%,1.56%,0.92%,1.44%,0.15%,-0.02%,1.03,8,7.64%,0.29%,2.04%,0.42,10.34%,2.90%,-0.02%,0.12%,1.95%,0.16%,-5.06%,27,56.25%,50.00%,0.74,0.10,0.52,-0.14,0.17,0.06%,2.47%,1.16,10/11/1995,08/21/2015
DOV,Dover Corp.,Technology,0.65%,0.10%,0.02%,0.13%,0.90%,0.02%,-0.04%,0.86,0.25,0.02%,1.10%,2.66%,1.34%,0.44%,0.02%,1.68,8,23.35%,0.28%,1.93%,0.75,18.30%,4.09%,0.04%,0.89%,2.53%,0.30%,-2.58%,25,52.08%,62.50%,0.24,0.14,0.89,0.16,0.53,0.05%,2.08%,1.15,01/02/1990,08/21/2015
DOW,DOW Chemical Company,Basic Industries,0.92%,0.15%,0.02%,0.18%,1.28%,0.02%,-0.10%,0.74,0.18,0.03%,1.33%,3.31%,1.87%,0.54%,0.02%,1.91,8,29.79%,0.36%,2.50%,0.96,22.73%,5.05%,0.03%,2.35%,2.79%,-0.01%,-5.01%,24,50.00%,75.00%,0.37,0.21,0.79,0.22,0.50,0.06%,2.58%,1.31,01/02/1990,08/21/2015
DPS,Dr Pepper Snapple Group Inc,Consumer Non-Durables,1.47%,-0.24%,0.11%,0.30%,1.92%,0.10%,-0.08%,0.60,0.27,0.06%,2.39%,0.19%,1.17%,0.03%,0.07%,0.72,7,1.36%,0.22%,1.45%,0.70,4.56%,3.57%,0.07%,2.58%,2.96%,-0.01%,-6.18%,21,50.00%,71.43%,0.79,0.12,0.54,-0.36,0.05,0.04%,1.79%,0.63,05/07/2008,08/21/2015
DRI,Darden Restaurants,Consumer Services,1.24%,0.30%,0.02%,0.22%,1.51%,0.02%,0.40%,0.14,0.03,0.04%,1.86%,3.53%,1.42%,0.58%,0.01%,0.73,8,32.01%,0.24%,1.67%,0.58,11.58%,4.33%,0.02%,3.38%,3.38%,0.82%,-3.03%,34,70.83%,87.50%,0.01,0.20,0.45,0.34,0.80,0.05%,2.38%,1.00,10/05/1995,08/21/2015
DTE,DTE Energy Company,Public Utilities,0.95%,-0.02%,0.05%,0.18%,1.22%,0.05%,0.00%,0.70,0.49,0.03%,1.43%,1.13%,0.90%,0.19%,0.04%,0.68,8,9.44%,0.16%,1.11%,0.72,5.16%,2.19%,0.04%,1.00%,1.39%,0.16%,-2.32%,29,60.42%,62.50%,0.45,0.28,0.63,-0.16,0.39,0.03%,1.42%,0.70,01/02/1990,08/21/2015
DUK,Duke Energy Corp.,Public Utilities,1.43%,0.00%,0.05%,0.26%,1.77%,0.05%,-0.07%,0.65,0.05,0.04%,1.78%,0.96%,0.90%,0.16%,0.03%,0.50,8,7.90%,0.16%,1.11%,0.90,3.84%,1.79%,0.03%,1.03%,1.37%,0.20%,-1.60%,25,52.08%,62.50%,0.71,0.11,0.46,-0.20,0.33,0.03%,1.27%,0.55,01/02/1990,08/21/2015
DVA,Davita Inc.,Health Care,1.54%,0.06%,0.08%,0.30%,2.11%,0.08%,-0.01%,0.93,0.39,0.05%,2.35%,1.20%,1.13%,0.20%,0.05%,0.88,8,10.05%,0.22%,1.54%,0.79,5.46%,2.56%,0.05%,0.37%,2.40%,-0.14%,-2.70%,22,45.83%,50.00%,0.52,0.37,0.59,-0.11,0.30,0.04%,1.66%,0.60,10/31/1995,08/21/2015
DVN,Devon Energy Corp.,Energy,0.85%,-0.02%,0.00%,0.16%,1.08%,0.00%,-0.06%,0.70,0.40,0.03%,1.36%,1.94%,1.48%,0.32%,0.00%,1.32,8,16.64%,0.27%,1.89%,0.58,10.20%,2.29%,0.01%,0.73%,1.06%,0.04%,-1.34%,25,52.08%,87.50%,0.56,0.39,0.72,0.03,0.39,0.05%,2.41%,1.22,06/09/1993,08/21/2015
EA,Electronic Arts Inc.,Technology,1.10%,-0.16%,-0.01%,0.21%,1.44%,-0.01%,-0.12%,0.41,0.34,0.05%,2.00%,0.73%,1.70%,0.12%,-0.02%,1.62,8,5.98%,0.32%,2.21%,0.52,18.98%,5.27%,-0.02%,-0.08%,3.06%,-0.27%,-7.09%,21,43.75%,50.00%,0.89,0.45,0.75,-0.16,0.13,0.06%,2.68%,1.08,03/26/1990,08/21/2015
EBAY,eBay Inc.,Miscellaneous,0.98%,0.02%,0.02%,0.18%,1.25%,0.02%,-0.01%,0.81,0.47,0.04%,1.56%,1.97%,1.57%,0.33%,0.02%,1.33,8,16.91%,0.27%,1.92%,0.72,16.79%,4.44%,0.03%,0.92%,3.12%,0.28%,-4.83%,26,54.17%,62.50%,0.25,0.27,0.71,0.04,0.39,0.05%,2.32%,1.09,09/24/1998,08/21/2015
ECL,Ecolab Inc.,Basic Industries,0.76%,0.16%,0.05%,0.14%,0.98%,0.05%,0.09%,0.39,0.41,0.03%,1.23%,2.29%,0.98%,0.38%,0.05%,0.87,8,19.90%,0.17%,1.21%,0.63,8.70%,2.49%,0.05%,2.17%,2.17%,0.17%,-0.64%,27,56.25%,75.00%,0.15,0.48,0.73,0.13,0.72,0.04%,1.60%,0.84,01/02/1990,08/21/2015
ED,Edison Company,Public Utilities,1.40%,-0.10%,0.05%,0.27%,1.88%,0.04%,0.10%,0.91,0.20,0.04%,1.74%,0.54%,0.82%,0.09%,0.03%,0.50,8,4.42%,0.15%,1.06%,0.93,4.06%,1.31%,0.03%,0.29%,0.82%,0.11%,-1.41%,26,54.17%,62.50%,0.71,0.24,0.48,-0.31,0.20,0.02%,1.10%,0.48,01/02/1990,08/21/2015
EFX,Equifax,Finance,0.66%,0.15%,0.02%,0.13%,0.88%,0.03%,0.04%,0.47,0.15,0.03%,1.12%,2.47%,1.06%,0.41%,0.03%,1.17,8,21.57%,0.21%,1.44%,0.65,12.48%,2.82%,0.04%,1.72%,1.72%,0.22%,-1.12%,28,58.33%,75.00%,0.12,0.24,0.83,0.15,0.65,0.04%,1.73%,0.95,01/02/1990,08/21/2015
EIX,Edison International,Public Utilities,1.18%,0.10%,0.02%,0.24%,1.65%,0.02%,-0.05%,0.90,0.47,0.03%,1.47%,1.78%,0.99%,0.29%,0.02%,0.52,8,15.18%,0.19%,1.35%,0.68,6.31%,2.64%,0.02%,1.87%,1.92%,0.09%,-1.81%,27,56.25%,62.50%,0.29,0.28,0.39,0.01,0.50,0.04%,1.56%,0.76,12/29/1988,08/21/2015
EL,Estee Lauder Companies,Consumer Non-Durables,0.82%,0.28%,0.07%,0.16%,1.11%,0.08%,0.15%,0.24,0.03,0.04%,1.85%,2.98%,1.05%,0.49%,0.06%,0.86,8,26.52%,0.19%,1.30%,0.23,11.83%,4.09%,0.07%,2.44%,2.91%,0.44%,-3.08%,31,64.58%,75.00%,0.03,0.16,0.67,0.28,0.87,0.05%,2.03%,0.87,11/17/1995,08/21/2015
EMC,EMC Corp.,Technology,0.66%,-0.01%,0.04%,0.11%,0.79%,0.04%,-0.07%,0.91,0.04,0.04%,1.60%,1.62%,0.95%,0.27%,0.04%,1.01,8,13.71%,0.18%,1.28%,0.03,13.11%,2.63%,0.04%,0.85%,0.98%,0.13%,-3.62%,27,56.25%,75.00%,0.41,0.00,0.81,-0.03,0.48,0.05%,2.07%,0.96,01/02/1990,08/21/2015
EMN,Eastman Chemical Company,Basic Industries,0.66%,-0.01%,0.05%,0.13%,0.89%,0.05%,0.12%,0.62,0.21,0.03%,1.24%,2.03%,1.26%,0.33%,0.06%,1.16,8,17.40%,0.23%,1.61%,0.26,8.21%,3.93%,0.06%,2.08%,3.70%,0.35%,-7.13%,28,58.33%,87.50%,0.34,0.23,0.74,0.05,0.48,0.05%,2.33%,1.23,12/14/1993,08/21/2015
EMR,Emerson Electric Company,Energy,0.48%,0.01%,0.02%,0.09%,0.59%,0.02%,0.01%,0.98,0.11,0.02%,0.99%,2.02%,0.99%,0.33%,0.02%,1.27,8,17.36%,0.21%,1.46%,0.17,12.21%,3.08%,0.03%,1.22%,1.84%,0.14%,-3.21%,28,58.33%,75.00%,0.27,0.01,0.89,0.06,0.53,0.04%,1.99%,1.14,01/02/1990,08/21/2015
ENDP,Endo Pharmaceuticals Holdings Inc.,Health Care,1.41%,-0.03%,0.07%,0.27%,1.86%,0.07%,-0.03%,0.84,0.19,0.06%,2.68%,0.99%,1.24%,0.17%,0.04%,1.08,8,8.24%,0.23%,1.64%,0.41,10.56%,2.57%,0.05%,0.55%,1.26%,0.07%,-4.58%,28,58.33%,62.50%,0.64,0.33,0.68,-0.15,0.23,0.05%,2.06%,0.68,07/18/2000,08/21/2015
EOG,Eog Resources,Energy,0.97%,0.26%,0.04%,0.18%,1.21%,0.05%,0.28%,0.21,0.32,0.03%,1.47%,4.18%,1.73%,0.68%,0.05%,1.66,8,38.74%,0.32%,2.27%,0.71,17.15%,4.19%,0.06%,3.12%,3.12%,0.50%,-0.03%,28,58.33%,87.50%,0.13,0.36,0.75,0.37,0.70,0.06%,2.64%,1.28,01/02/1990,08/21/2015
EQIX,Equinix,Public Utilities,1.19%,-0.19%,0.05%,0.24%,1.65%,0.05%,-0.17%,0.28,0.46,0.04%,1.75%,0.56%,1.63%,0.09%,0.05%,1.20,8,4.58%,0.33%,2.30%,0.62,11.75%,5.27%,0.05%,-1.18%,5.03%,-0.10%,-7.89%,22,45.83%,37.50%,0.89,0.32,0.54,-0.18,0.09,0.06%,2.70%,1.17,01/31/2003,08/21/2015
EQR,Equity Residential,Consumer Services,0.82%,-0.11%,0.02%,0.16%,1.08%,0.02%,0.06%,0.97,0.40,0.03%,1.43%,1.53%,1.71%,0.25%,0.02%,1.52,8,12.92%,0.32%,2.26%,0.77,9.68%,5.12%,0.03%,1.78%,6.37%,0.26%,-7.60%,27,56.25%,75.00%,0.36,0.20,0.69,-0.03,0.26,0.07%,3.04%,1.49,09/20/1993,08/21/2015
EQT,Eqt Corp.,Public Utilities,0.83%,0.16%,0.03%,0.15%,1.01%,0.03%,0.21%,0.24,0.49,0.03%,1.35%,3.21%,1.35%,0.53%,0.03%,1.20,8,28.80%,0.25%,1.73%,0.43,12.96%,4.31%,0.05%,2.54%,4.14%,0.32%,-4.13%,30,62.50%,87.50%,0.16,0.27,0.71,0.27,0.70,0.05%,2.39%,1.21,01/02/1990,08/21/2015
ESRX,Express Scripts,Health Care,1.37%,0.06%,0.08%,0.33%,2.30%,0.08%,-0.25%,0.32,0.46,0.04%,1.86%,1.71%,1.41%,0.28%,0.07%,0.97,8,14.51%,0.32%,2.20%,0.84,14.62%,4.58%,0.07%,0.39%,3.27%,0.06%,-3.58%,26,54.17%,50.00%,1.00,0.47,0.45,-0.01,0.30,0.05%,2.06%,0.87,01/03/1994,08/21/2015
ESS,Essex Property Trust,Consumer Services,1.02%,-0.05%,0.03%,0.21%,1.45%,0.02%,-0.04%,0.91,0.48,0.03%,1.40%,1.65%,1.66%,0.27%,0.03%,1.29,8,14.03%,0.32%,2.21%,0.95,10.42%,5.25%,0.03%,1.00%,7.07%,0.36%,-7.01%,26,54.17%,62.50%,0.35,0.11,0.60,-0.01,0.29,0.05%,2.45%,1.21,06/14/1994,08/21/2015
ESV,Ensco Plc,Energy,1.18%,0.09%,0.00%,0.23%,1.63%,0.00%,-0.04%,0.82,0.20,0.03%,1.38%,2.98%,1.74%,0.49%,-0.01%,0.77,8,26.44%,0.32%,2.26%,0.76,9.69%,3.73%,0.00%,1.55%,2.01%,0.43%,-2.07%,29,60.42%,75.00%,0.10,0.47,0.35,0.19,0.50,0.06%,2.70%,1.34,06/20/1994,08/21/2015
ETFC,E*Trade Financial Corp.,Finance,1.13%,0.21%,-0.03%,0.26%,1.81%,-0.03%,0.03%,0.49,0.08,0.05%,2.07%,5.49%,2.87%,0.89%,-0.14%,2.08,8,53.31%,0.57%,4.00%,0.77,22.30%,7.39%,-0.12%,5.08%,5.59%,0.72%,-5.03%,27,56.25%,75.00%,0.06,0.12,0.54,0.34,0.52,0.11%,5.08%,1.93,08/16/1996,08/21/2015
ETN,Eaton Corp.,Technology,0.81%,0.22%,0.02%,0.15%,1.02%,0.03%,-0.01%,0.33,0.28,0.03%,1.17%,3.54%,1.32%,0.58%,0.03%,1.37,8,32.08%,0.26%,1.82%,0.50,18.53%,4.91%,0.04%,2.61%,3.01%,0.16%,-3.11%,30,62.50%,75.00%,0.12,0.10,0.77,0.32,0.74,0.05%,2.15%,1.16,01/02/1990,08/21/2015
ETR,Entergy Corp.,Public Utilities,1.22%,0.16%,0.00%,0.22%,1.53%,0.00%,-0.09%,0.60,0.36,0.04%,1.74%,1.82%,0.94%,0.30%,0.00%,0.56,8,15.49%,0.17%,1.18%,0.50,4.32%,1.91%,0.01%,1.51%,1.51%,0.29%,-0.35%,30,62.50%,87.50%,0.06,0.35,0.48,0.02,0.59,0.03%,1.52%,0.67,01/02/1990,08/21/2015
EW,Edwards Lifesciences Corp.,Health Care,1.54%,0.15%,0.13%,0.28%,1.93%,0.13%,0.07%,0.89,0.50,0.07%,2.96%,1.56%,0.95%,0.26%,0.07%,0.46,8,13.15%,0.18%,1.23%,0.19,4.76%,2.25%,0.08%,2.15%,2.15%,0.17%,-1.89%,29,60.42%,75.00%,0.27,0.15,0.38,-0.05,0.48,0.04%,1.98%,0.59,04/03/2000,08/21/2015
EXC,Exelon Corp.,Public Utilities,1.22%,0.06%,-0.03%,0.24%,1.67%,-0.02%,0.01%,0.77,0.31,0.04%,1.70%,1.65%,1.11%,0.27%,-0.02%,0.61,8,14.03%,0.21%,1.45%,0.66,6.96%,1.82%,-0.01%,1.32%,1.32%,0.20%,-0.65%,28,58.33%,87.50%,0.27,0.49,0.43,-0.02,0.43,0.04%,1.77%,0.79,01/02/1990,08/21/2015
EXPD,Expeditors International Of Washington,Transportation,0.92%,-0.03%,0.00%,0.18%,1.23%,0.00%,-0.09%,0.88,0.29,0.03%,1.40%,1.66%,1.47%,0.27%,0.00%,1.40,8,14.05%,0.28%,1.97%,0.76,13.77%,3.81%,0.00%,0.42%,2.57%,0.18%,-3.61%,27,56.25%,62.50%,0.25,0.44,0.73,-0.02,0.32,0.05%,2.23%,1.11,05/25/1993,08/21/2015
EXPE,Expedia,Consumer Services,0.79%,0.02%,0.05%,0.16%,1.08%,0.05%,0.05%,0.94,0.01,0.05%,2.22%,2.21%,1.51%,0.36%,0.03%,1.46,8,19.10%,0.28%,1.98%,0.23,16.13%,4.26%,0.04%,1.04%,3.13%,0.17%,-4.02%,27,56.25%,50.00%,0.40,0.11,0.76,0.08,0.43,0.08%,3.42%,1.20,07/21/2005,08/21/2015
F,Ford Motor Company,Capital Goods,0.90%,0.14%,0.04%,0.19%,1.30%,0.05%,0.01%,0.55,0.13,0.05%,2.03%,3.23%,1.76%,0.53%,0.03%,1.67,8,28.96%,0.34%,2.38%,0.47,19.96%,5.59%,0.04%,2.38%,4.17%,0.31%,-6.76%,29,60.42%,62.50%,0.22,0.28,0.72,0.22,0.52,0.07%,3.25%,1.30,01/02/1990,08/21/2015
FAST,Fastenal Company,Consumer Services,0.79%,0.12%,0.05%,0.15%,1.07%,0.05%,0.00%,0.75,0.15,0.03%,1.45%,2.63%,1.27%,0.43%,0.05%,1.26,8,23.12%,0.25%,1.73%,0.37,7.85%,3.64%,0.06%,2.59%,2.59%,0.23%,-2.22%,29,60.42%,75.00%,0.17,0.11,0.74,0.17,0.58,0.05%,2.23%,1.09,01/03/1994,08/21/2015
FB,Facebook Inc,Technology,2.89%,0.91%,0.08%,0.85%,3.62%,0.10%,0.29%,0.56,0.06,0.13%,3.20%,6.21%,2.82%,1.01%,0.09%,0.72,3,19.82%,0.81%,3.46%,0.92,19.87%,7.89%,0.12%,2.34%,2.38%,0.03%,-2.32%,9,50.00%,66.67%,0.47,0.07,0.04,0.87,1.10,0.13%,3.11%,0.95,05/18/2012,08/21/2015
FCX,Freeport-Mcmoran Copper & Gold,Basic Industries,0.88%,0.20%,0.01%,0.16%,1.13%,0.02%,0.14%,0.25,0.28,0.03%,1.43%,4.70%,2.20%,0.77%,0.00%,2.21,8,44.41%,0.41%,2.91%,0.77,18.68%,5.66%,0.02%,3.97%,3.97%,0.60%,-3.53%,33,68.75%,75.00%,0.08,0.44,0.79,0.36,0.61,0.08%,3.40%,1.66,10/12/1995,08/21/2015
FDX,Fedex Corp.,Transportation,0.98%,-0.16%,0.02%,0.18%,1.27%,0.01%,0.00%,0.71,0.12,0.03%,1.33%,0.76%,1.51%,0.13%,0.02%,1.44,8,6.26%,0.28%,1.97%,0.92,12.71%,4.49%,0.02%,1.47%,2.90%,0.30%,-8.93%,28,58.33%,62.50%,0.53,0.26,0.75,-0.17,0.15,0.05%,2.07%,1.05,01/02/1990,08/21/2015
FE,Firstenergy Corp.,Public Utilities,1.31%,0.20%,-0.03%,0.24%,1.68%,-0.02%,0.09%,0.56,0.18,0.04%,1.84%,2.12%,1.10%,0.35%,-0.02%,0.55,8,18.24%,0.19%,1.34%,0.69,5.57%,2.40%,-0.01%,1.81%,1.81%,0.30%,-1.12%,27,56.25%,87.50%,0.14,0.30,0.42,0.08,0.60,0.04%,1.71%,0.72,11/10/1997,08/21/2015
FFIV,F5 Networks,Technology,1.45%,0.56%,0.06%,0.27%,1.86%,0.07%,0.64%,0.12,0.31,0.05%,2.36%,5.56%,1.96%,0.91%,0.04%,1.46,8,54.12%,0.35%,2.47%,0.46,23.61%,6.01%,0.06%,1.86%,1.92%,0.75%,-1.70%,27,56.25%,87.50%,0.07,0.47,0.61,0.53,0.85,0.07%,3.06%,1.09,06/04/1999,08/21/2015
FIS,Fidelity National Information Services,Miscellaneous,0.86%,0.01%,0.07%,0.17%,1.14%,0.07%,-0.09%,0.94,0.35,0.06%,2.56%,1.73%,1.04%,0.29%,0.05%,0.83,8,14.73%,0.20%,1.39%,0.38,8.91%,2.59%,0.05%,0.82%,1.89%,0.19%,-1.92%,26,54.17%,50.00%,0.42,0.28,0.61,0.00,0.48,0.06%,2.71%,0.96,09/29/2003,08/21/2015
FISV,Fiserv,Technology,0.72%,0.12%,0.04%,0.15%,1.02%,0.04%,0.12%,0.78,0.43,0.03%,1.18%,2.20%,0.89%,0.36%,0.04%,0.88,8,19.03%,0.18%,1.29%,0.21,9.50%,2.32%,0.05%,0.93%,0.93%,0.31%,-0.47%,33,68.75%,87.50%,0.19,0.03,0.70,0.10,0.65,0.04%,1.68%,0.90,01/03/1994,08/21/2015
FITB,Fifth Third Bancorp,Finance,0.83%,-0.19%,0.02%,0.19%,1.35%,0.01%,-0.15%,0.53,0.47,0.04%,1.93%,0.95%,2.00%,0.16%,-0.03%,1.57,8,7.89%,0.45%,3.16%,0.48,11.33%,6.60%,-0.03%,1.92%,4.46%,0.20%,-19.00%,27,56.25%,75.00%,0.41,0.11,0.51,-0.09,0.12,0.11%,4.75%,1.99,12/24/1991,08/21/2015
FLIR,Flir Systems,Capital Goods,0.81%,-0.01%,0.04%,0.17%,1.21%,0.03%,-0.17%,0.63,0.09,0.04%,1.71%,1.73%,1.27%,0.29%,0.03%,1.33,8,14.75%,0.26%,1.84%,0.30,9.61%,2.29%,0.04%,0.71%,1.10%,0.19%,-0.84%,25,52.08%,62.50%,0.51,0.12,0.74,0.00,0.36,0.05%,2.36%,1.05,01/03/1994,08/21/2015
FLR,Fluor Corp.,Basic Industries,0.79%,0.07%,0.02%,0.15%,1.04%,0.02%,0.04%,0.78,0.34,0.03%,1.26%,3.16%,1.83%,0.52%,0.02%,1.77,8,28.28%,0.34%,2.38%,0.79,18.40%,5.19%,0.03%,3.37%,3.81%,0.35%,-4.90%,28,58.33%,75.00%,0.28,0.42,0.76,0.21,0.50,0.06%,2.87%,1.50,12/22/2000,08/21/2015
FLS,Flowserve Corp.,Capital Goods,0.84%,0.09%,0.05%,0.16%,1.12%,0.05%,-0.07%,0.99,0.09,0.03%,1.30%,3.30%,1.75%,0.54%,0.07%,1.55,8,29.67%,0.33%,2.30%,0.79,17.33%,4.38%,0.08%,3.14%,3.14%,0.23%,-2.68%,26,54.17%,75.00%,0.35,0.43,0.69,0.23,0.55,0.06%,2.88%,1.48,07/23/1997,08/21/2015
FMC,Fmc Corp.,Basic Industries,0.70%,0.08%,0.04%,0.14%,0.99%,0.04%,-0.01%,0.86,0.38,0.03%,1.21%,2.88%,1.38%,0.47%,0.05%,1.25,8,25.54%,0.26%,1.83%,0.71,12.78%,4.99%,0.06%,3.52%,4.38%,0.14%,-4.39%,28,58.33%,75.00%,0.26,0.36,0.70,0.20,0.60,0.06%,2.51%,1.33,09/09/1985,08/21/2015
FOSL,Fossil,Consumer Non-Durables,1.37%,0.28%,0.07%,0.28%,1.95%,0.07%,0.23%,0.85,0.09,0.05%,2.04%,4.15%,2.11%,0.68%,0.06%,1.60,8,38.43%,0.41%,2.90%,0.80,20.74%,6.65%,0.07%,3.64%,5.50%,0.15%,-4.75%,27,56.25%,75.00%,0.35,0.40,0.57,0.29,0.54,0.07%,3.20%,1.26,01/03/1994,08/21/2015
FOXA,Twenty-First Century Fox Inc,Consumer Services,0.48%,-0.29%,0.00%,0.14%,0.49%,-0.01%,-0.37%,0.21,0.14,0.06%,1.03%,-0.89%,0.49%,-0.15%,0.06%,0.55,2,-1.76%,0.15%,0.54%,0.03,1.43%,2.34%,0.05%,-0.86%,2.34%,-0.36%,-3.15%,3,25.00%,50.00%,0.44,0.02,0.11,-1.95,-1.27,0.08%,1.33%,1.10,07/01/2013,08/21/2015
FSLR,First Solar,Technology,1.44%,-0.13%,0.08%,0.28%,1.94%,0.07%,-0.21%,0.72,0.17,0.06%,2.76%,1.18%,2.23%,0.20%,0.04%,1.33,8,9.83%,0.45%,3.18%,0.09,10.21%,3.45%,0.04%,-0.56%,1.95%,0.09%,-3.44%,26,54.17%,50.00%,0.73,0.01,0.43,-0.07,0.14,0.10%,4.55%,1.46,11/17/2006,08/21/2015
